date	species	plot	sex	weight_g	scale_calibrated
20130716	DM	2	F	NULL	YES
20130717	DM	7	M	33	YES
20130718	DM	3	M	NULL	YES
20130719	DM	1	M	NULL	YES
20130720	DM	3	M	40	YES
20130721	DM	7	M	48	YES
20130722	DM	4	F	29	YES
20130723	DM	6	F	37	YES
20130819	DO	8	F	52	YES
20131017	DO	3	F	33	YES
20131017	DO	3	F	50	YES
20131210	DO	9	F	40	YES
20131210	DO	1	M	45	YES
20131211	DO	8	F	41	YES
20131113	DS	9	F	117	YES
20131113	DS	11	F	126	YES
20131113	DS	17	M	132	NO
20131113	DS	14	F	113	NO
20131113	DS	11	F	122	YES
20131113	DS	4	F	107	YES
20131113	DS	4	F	115	YES
20140109	DM	1	M	40	YES
20140109	DM	1	F	36	YES
20140313	DM	1	F	51	YES
20140313	DM	1	F	44	YES
20140313	DS	1	F	146	YES
20140108	NA	2	NULL	NULL	NULL
20140108	DM	2	M	44	YES
20140108	PF	2	F	7	YES
20140108	DM	2	M	45	YES
20140108	OT	2	NULL	NULL	NULL
20140108	DS	2	M	157	NO
20140108	OX	2	NULL	NULL	NULL
20140218	NA	2	M	218	NO
20140218	PF	2	F	7	YES
20140218	DM	2	M	52	YES
20140311	PF	3	M	8	YES
20140408	NA	3	F	NULL	YES
20140506	NULL	3	NULL	NULL	YES
20140518	NA	3	F	182	YES
20140609	OT	3	F	29	YES
20140708	NA	3	F	115	YES
20140708	NA	3	M	190	YES
20140108	DM	4	F	37	YES
20140108	DM	4	M	NULL	NULL
20140108	DM	4	F	48	YES
20140108	DO	4	M	52	YES
20140108	OL	4	M	35	YES
